Conventions,G,BADC-CSV,1
title,G,uk-radiation-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-201908
history,G,Created 2019-08-20
last_revised_date,G,2019-08-20
observation_station,G,bracknell-beaufort-park
historic_county_name,G,berkshire
midas_station_id,G,00838
location,G,51.39,-0.786
height,G,74,m
date_valid,G,1991-01-01 00:00:00,1991-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,glbl_irad_amt,Global solar irradiation amount,KJ/m2
type,glbl_irad_amt,int
long_name,glbl_irad_amt_q,QC code: Global solar irradiation amount,1
type,glbl_irad_amt_q,int
long_name,difu_irad_amt,Diffuse solar irradiation amount,KJ/m2
type,difu_irad_amt,int
long_name,difu_irad_amt_q,QC code: Diffuse solar irradiation amount,1
type,difu_irad_amt_q,int
long_name,direct_irad,Direct solar irradiation amount,KJ/m2
type,direct_irad,int
long_name,direct_irad_q,QC code: Direct solar irradiation amount,1
type,direct_irad_q,int
long_name,irad_bal_amt,Irradiation balance amount,KJ/m2
type,irad_bal_amt,int
long_name,irad_bal_amt_q,QC code: Irradiation balance amount,1
type,irad_bal_amt_q,int
long_name,glbl_s_lat_irad_amt,Mean global S latitude radiation,KJ/m2
type,glbl_s_lat_irad_amt,int
long_name,glbl_s_lat_irad_amt_q,QC code: Mean global S latitude radiation,1
type,glbl_s_lat_irad_amt_q,int
long_name,glbl_horz_ilmn,Global horizontal illumination,KJ/m2
type,glbl_horz_ilmn,int
long_name,glbl_horz_ilmn_q,QC code: Global horizontal illumination,1
type,glbl_horz_ilmn_q,int
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,version_num,met_domain_name,src_id,rec_st_ind,glbl_irad_amt,glbl_irad_amt_q,difu_irad_amt,difu_irad_amt_q,direct_irad,direct_irad_q,irad_bal_amt,irad_bal_amt_q,glbl_s_lat_irad_amt,glbl_s_lat_irad_amt_q,glbl_horz_ilmn,glbl_horz_ilmn_q,meto_stmp_time,midas_stmp_etime
1991-01-01 00:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 01:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 02:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 03:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 04:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 05:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 06:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,2200,NA,0,NA,0,NA,0,NA,NA
1991-01-01 07:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 08:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,4,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 09:00:00,DCNN,5592,1,1,MODLERAD,838,2001,119,9,94,9,385,9,NA,0,NA,0,NA,0,NA,NA
1991-01-01 10:00:00,DCNN,5592,1,1,MODLERAD,838,2001,270,9,245,9,130,9,NA,0,NA,0,NA,0,NA,NA
1991-01-01 11:00:00,DCNN,5592,1,1,MODLERAD,838,2001,414,9,364,9,173,9,NA,0,NA,0,NA,0,NA,NA
1991-01-01 12:00:00,DCNN,5592,1,1,MODLERAD,838,2001,648,9,454,9,652,9,NA,0,NA,0,NA,0,NA,NA
1991-01-01 13:00:00,DCNN,5592,1,1,MODLERAD,838,2001,169,9,166,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 14:00:00,DCNN,5592,1,1,MODLERAD,838,2001,94,9,90,9,652,2200,NA,0,NA,0,NA,0,NA,NA
1991-01-01 15:00:00,DCNN,5592,1,1,MODLERAD,838,2001,58,9,58,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 16:00:00,DCNN,5592,1,1,MODLERAD,838,2001,11,9,7,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 17:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 18:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 19:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 20:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 21:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 22:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
1991-01-01 23:00:00,DCNN,5592,1,1,MODLERAD,838,2001,0,9,0,9,652,0,NA,0,NA,0,NA,0,NA,NA
